frame,time_sec,temperature_c,length_env_true_px,length_axis_true_px,length_axis_alt_true_px,length_axis_definition_gap_true_px,diameter_true_px,diameter_max_orth_true_px,diameter_max_thickness_true_px,diameter_max_feret_true_px,diameter_p95_true_px,diameter_peak_span_true_px,diameter_peak_pos_norm_true,area_proj_true_px2,area_proj_contour_true_px2,area_proj_definition_gap_true_px2,body_mask_area_true_px2,body_mask_attachment_leak_fraction_true,x_peak_norm_true,taper_left_true_px,taper_right_true_px,landing_zone_left_true_px,landing_zone_right_true_px,transition_zone_left_true_px,transition_zone_right_true_px,compaction_zone_length_true_px,zone_symmetry_true,length_axis_ref_true_px,length_env_ref_true_px,foreshortening_axis_true,foreshortening_env_true
10,0.5,20.93945720250522,524.239332295811,516.5615217639682,515.6482963615289,0.913225402439366,119.99985601705194,119.99985601705194,119.99985601705194,123.64296306280374,119.6282298321935,104.45384885855799,0.5610758954013036,40320.89266128653,43064.0,-2743.1073387134675,43591.0,0.0,0.5610758954013036,37.11692318690727,39.29997334054326,37.11692318690727,39.29997334054326,111.23659049347891,87.26166981608628,241.64636492695251,0.9578136008866065,516.5616119081557,524.2394188766713,1.7450810385621907e-07,1.6515518896920156e-07
11,0.55,21.03340292275574,524.239332295811,516.5615101977293,515.6482848574149,0.9132253403143977,119.99986656356091,119.99986656356091,119.99986656356091,123.64296306280374,119.6282403460411,104.45384652733446,0.5610758954061196,40320.89530320339,43064.0,-2743.1046967966104,43591.0,0.0,0.5610758954061196,37.11692235291089,39.29997245750866,37.11692235291089,39.29997245750866,111.23658799924972,87.26166785865314,241.64635952940685,0.9578136008862578,516.5616119081557,524.2394188766713,1.9689892560847966e-07,1.6515518896920156e-07
12,0.6,21.127348643006265,524.239332295811,516.5614980752315,515.6482728000299,0.9132252752016257,119.9998776172867,119.9998776172867,119.9998776172867,123.64296306280374,119.62825136553474,104.45384408399437,0.5610758954111678,40320.89807217868,43064.0,-2743.1019278213207,43591.0,0.0,0.5610758954111678,37.116921478804976,39.299971532006055,37.116921478804976,39.299971532006055,111.23658538506493,87.26166580708008,241.64635387227545,0.957813600885891,516.5616119081557,524.2394188766713,2.2036659630408906e-07,1.6515518896920156e-07
13,0.65,21.221294363256785,524.239332295811,516.5614853697218,515.6482601627649,0.9132252069568949,119.99988920262292,119.99988920262292,119.99988920262292,123.64296306280374,119.62826291499246,104.45384152314591,0.561075895416459,40320.90097432298,43064.0,-2743.0990256770165,43591.0,0.0,0.561075895416459,37.116920562660404,39.29997056199261,37.116920562660404,39.29997056199261,111.23658264515518,87.2616636568402,241.64634794307344,0.9578136008855063,516.5616119081557,524.2394188766713,2.449629065148784e-07,1.6515518896920156e-07
14,0.7,21.315240083507305,524.239332295811,516.5614720531623,515.6482469177322,0.9132251354301388,119.99990134513637,119.99990134513637,119.99990134513637,123.64296306280374,119.62827501990189,104.45383883913775,0.5610758954220038,40320.904016040804,43064.0,-2743.095983959196,43591.0,0.0,0.5610758954220038,37.116919602455326,39.29996954532828,37.116919602455326,39.29996954532828,111.2365797734739,87.26166140318833,241.6463417287165,0.9578136008851046,516.5616119081557,524.2394188766713,2.707421343783878e-07,1.6515518896920156e-07
15,0.75,21.40918580375783,524.239332295811,516.5614580961658,515.648233035702,0.9132250604637875,119.9999140716234,119.9999140716234,119.9999140716234,123.64296306280374,119.62828770697641,104.45383602604684,0.5610758954278162,40320.907204044735,43064.0,-2743.0927959552646,43591.0,0.0,0.5610758954278162,37.116918596070825,39.29996847976906,37.116918596070825,39.29996847976906,111.23657676368418,87.26165904115078,241.64633521549092,0.9578136008846826,516.5616119081557,524.2394188766713,2.9776116994284507e-07,1.6515518896920156e-07
16,0.8,21.50313152400835,524.239332295811,516.5614434679312,515.6482184860395,0.9132249818917444,119.99992741016906,119.99992741016906,119.99992741016906,123.64296306280374,119.62830100421408,104.45383307766514,0.5610758954339075,40320.910545369945,43064.0,-2743.089454630055,43591.0,0.0,0.5610758954339075,37.11691754128605,39.29996736296391,37.11691754128605,39.29996736296391,111.23657360914373,87.26165656551501,241.6463283890225,0.9578136008842407,516.5616119081557,524.2394188766713,3.260796400672561e-07,1.6515518896920156e-07
17,0.85,21.597077244258873,524.239332295811,516.5614281361769,515.6482032366357,0.9132248995412056,119.9999413902091,119.9999413902091,119.9999413902091,123.64296306280374,119.62831494095948,104.45382998748624,0.5610758954402917,40320.91404739018,43064.0,-2743.085952609821,43591.0,0.0,0.5610758954402917,37.11691643577313,39.29996619244781,37.11691643577313,39.29996619244781,111.2365703028909,87.26165397081792,241.64632123424715,0.9578136008837782,516.5616119081557,524.2394188766713,3.55760038095454e-07,1.6515518896920156e-07
18,0.9,21.691022964509393,524.239332295811,516.561412067069,515.6481872538386,0.9132248132303857,119.99995604259489,119.99995604259489,119.99995604259489,123.64296306280374,119.62832954796849,104.45382674869072,0.5610758954469833,40320.917717833756,43064.0,-2743.082282166244,43591.0,0.0,0.5610758954469833,37.1169152770926,39.299964965637685,37.1169152770926,39.299964965637685,111.23656683762994,87.26165125133332,241.64631373537546,0.9578136008832921,516.5616119081557,524.2394188766713,3.868678625229549e-07,1.6515518896920156e-07
19,0.95,21.784968684759917,524.239332295811,516.561395225145,515.6481705023766,0.9132247227684047,119.99997139966152,119.99997139966152,119.99997139966152,123.64296306280374,119.62834485747598,104.45382335413063,0.561075895453996,40320.92156480053,43064.0,-2743.0784351994735,43591.0,0.0,0.561075895453996,37.11691406268725,39.29996367982619,37.11691406268725,39.29996367982619,111.23656320571303,87.26164840106003,241.64630587585853,0.9578136008827838,516.5616119081557,524.2394188766713,4.194717642125312e-07,1.6515518896920156e-07
20,1.0,21.878914405010438,524.239332295811,516.5613775732387,515.6481529452828,0.9132246279558558,119.99998749529914,119.99998749529914,119.99998749529914,123.64296306280374,119.62836090326721,104.45381979631557,0.5610758954613466,40320.92559678002,43064.0,-2743.07440321998,43591.0,0.0,0.5610758954613466,37.11691278987735,39.299962332175994,37.11691278987735,39.299962332175994,111.23655939912558,87.26164541370747,241.6462976383523,0.9578136008822499,516.5616119081557,524.2394188766713,4.5364369238853897e-07,1.6515518896920156e-07
21,1.05,21.97286012526096,524.239332295811,516.5613590723945,515.6481345438117,0.9132245285827594,120.00000436502776,120.00000436502776,120.00000436502776,123.64296306280374,119.62837772075216,104.45381606739323,0.5610758954690512,40320.92982266992,43064.0,-2743.0701773300825,43591.0,0.0,0.5610758954690512,37.11691145585374,39.2999609197127,37.11691145585374,39.2999609197127,111.2365554094672,87.26164228268374,241.64628900467707,0.9578136008816903,516.5616119081557,524.2394188766713,4.894590603932159e-07,1.6515518896920156e-07
22,1.1,22.06680584551148,524.239332295811,516.5613396817866,515.6481152573551,0.9132244244315189,120.00002204607566,120.00002204607566,120.00002204607566,123.64296306280374,119.62839534704382,104.45381215913523,0.561075895477125,40320.93425179603,43064.0,-2743.065748203968,43591.0,0.0,0.561075895477125,37.116910057672754,39.299959439320105,37.116910057672754,39.299959439320105,111.23655122793323,87.26163900107912,241.64627995578144,0.9578136008811053,516.5616119081557,524.2394188766713,5.269969016730158e-07,1.6515518896920156e-07
23,1.15,22.160751565762006,524.239332295811,516.5613193586222,515.6480950433515,0.9132243152706678,120.00004057746143,120.00004057746143,120.00004057746143,123.64296306280374,119.62841382103997,104.45380806291678,0.5610758954855886,40320.9388939324,43064.0,-2743.061106067602,43591.0,0.0,0.5610758954855886,37.11690859224881,39.299957887730386,37.11690859224881,39.299957887730386,111.23654684529617,87.26163556165164,241.64627047169517,0.9578136008804911,516.5616119081557,524.2394188766713,5.663400584055012e-07,1.6515518896920156e-07
24,1.2,22.254697286012526,524.239332295811,516.5612980580523,515.6480738571922,0.9132242008600997,120.00006000008021,120.00006000008021,120.00006000008021,123.64296306280374,119.62843318350906,104.453803769698,0.5610758954944584,40320.94375932329,43064.0,-2743.056240676713,43591.0,0.0,0.5610758954944584,37.11690705634799,39.29995626151964,37.11690705634799,39.29995626151964,111.236542251884,87.26163195681124,241.64626053148945,0.9578136008798473,516.5616119081557,524.2394188766713,6.075753522516436e-07,1.6515518896920156e-07
25,1.25,22.348643006263046,524.239332295811,516.5612757330714,515.6480516521237,0.9132240809476571,120.00008035679386,120.00008035679386,120.00008035679386,123.64296306280374,119.62845347718023,104.4537992700051,0.5610758955037546,40320.94885870558,43064.0,-2743.051141294418,43591.0,0.0,0.5610758955037546,37.11690544658081,39.29995455709968,37.11690544658081,39.29995455709968,111.23653743756034,87.26162817860262,241.64625011322795,0.9578136008791731,516.5616119081557,524.2394188766713,6.507937805322328e-07,1.6515518896920156e-07
26,1.3,22.44258872651357,524.2394065887173,516.5612523344116,515.6480283791443,0.9132239552673127,120.00010169252552,120.00010169252552,120.00010169252552,123.64246065012699,119.62847474683751,104.45379455390795,0.5610758955134991,40320.954203332454,43061.0,-2740.045796667546,43588.0,0.0,0.5610758955134991,37.11690375939504,39.29995277070822,37.11690375939504,39.29995277070822,111.23653239170075,87.26162421868798,241.64623919391963,0.9578136008784647,516.5616119081557,524.2394188766713,6.960907193986898e-07,2.3439584051487827e-08
27,1.35,22.536534446764094,524.2394065887173,516.5612278104386,515.6480039868951,0.9132238235434897,120.00012405435875,120.00012405435875,120.00012405435875,123.64246065012699,119.62849703941863,104.45378961099874,0.5610758955237104,40320.959804998354,43061.0,-2740.0401950016458,43588.0,0.0,0.5610758955237104,37.116901991067124,39.29995089840412,37.116901991067124,39.29995089840412,111.23652710316998,87.26162006832936,241.646227749468,0.9578136008777249,516.5616119081557,524.2394188766713,7.435661268928584e-07,2.3439584051487827e-08
28,1.4,22.630480167014614,524.2394065887173,516.5612021070317,515.6479784215476,0.9132236854841267,120.0001474916415,120.0001474916415,120.0001474916415,123.64246065012699,119.62852040411872,104.4537844303702,0.5610758955344138,40320.96567606487,43061.0,-2740.0343239351278,43588.0,0.0,0.5610758955344138,37.116900137694905,39.29994893605516,37.116900137694905,39.29994893605516,111.23652156029763,87.26161571836667,241.64621575461734,0.9578136008769481,516.5616119081557,524.2394188766713,7.93324773873394e-07,2.3439584051487827e-08
29,1.45,22.724425887265134,524.2394065887173,516.561175167469,515.6479516266841,0.9132235407848839,120.00017205609491,120.00017205609491,120.00017205609491,123.64246065012699,119.62854489249877,104.45377900058898,0.5610758955456319,40320.97182948808,43061.0,-2740.0281705119196,43588.0,0.0,0.5610758955456319,37.116898195188355,39.29994687933066,37.116898195188355,39.29994687933066,111.23651575085151,87.26161115920115,241.64620318289727,0.9578136008761341,516.5616119081557,524.2394188766713,8.454764671705917e-07,2.3439584051487827e-08
30,1.5,22.818371607515658,524.2394065887173,516.561146932301,515.6479235431741,0.9132233891268697,120.00019780192748,120.00019780192748,120.00019780192748,123.64246065012699,119.62857055859936,104.45377330967324,0.5610758955573899,40320.97827884718,43061.0,-2740.0217211528216,43588.0,0.0,0.5610758955573899,37.11689615926089,39.299944723691965,37.11689615926089,39.299944723691965,111.23650966201156,87.2616063807713,241.64619000656526,0.95781360087528,516.5616119081557,524.2394188766713,9.001362935023849e-07,2.3439584051487827e-08
31,1.55,22.91231732776618,524.2394065887173,516.5611173392189,515.6478941090436,0.9132232301752765,120.00022478595466,120.00022478595466,120.00022478595466,123.64246065012699,119.62859745905999,104.45376734506397,0.5610758955697129,40320.98503837439,43061.0,-2740.0149616256094,43588.0,0.0,0.5610758955697129,37.1168940254193,39.29994246438213,37.1168940254193,39.29994246438213,111.23650328034086,87.26160137253271,241.64617619654388,0.9578136008743862,516.5616119081557,524.2394188766713,9.574248751587078e-07,2.3439584051487827e-08
32,1.6,23.006263048016702,524.2394065887173,516.5610863229174,515.647863259338,0.9132230635793803,120.00025306772422,120.00025306772422,120.00025306772422,123.64246065012699,119.62862565324407,104.45376109359927,0.5610758955826288,40320.992122986296,43061.0,-2740.0078770137043,43588.0,0.0,0.5610758955826288,37.11689178895508,39.29994009641558,37.11689178895508,39.29994009641558,111.23649659175658,87.26159612343281,241.64616172235733,0.9578136008734491,516.5616119081557,524.2394188766713,1.0174686352337758e-06,2.3439584051487827e-08
33,1.65,23.100208768267223,524.2394065887173,516.5610538149499,515.6478309259787,0.9132228889711769,120.00028270964768,120.00028270964768,120.00028270964768,123.64246065012699,119.6286552033698,104.45375454148302,0.5610758955961657,40320.999548316926,43061.0,-2740.000451683074,43588.0,0.0,0.5610758955961657,37.116889444932596,39.29993761456632,37.116889444932596,39.29993761456632,111.23648958149859,87.2615906218881,241.6461465520643,0.9578136008724666,516.5616119081557,524.2394188766713,1.0804000779573997e-06,2.3439584051487827e-08
34,1.7,23.194154488517746,524.2394065887173,516.5610197435793,515.6477970376136,0.9132227059657225,120.00031377713803,120.00031377713803,120.00031377713803,123.64246065012699,119.6286861746476,104.45374767425614,0.5610758956103531,40321.00733075208,43061.0,-2739.9926692479203,43588.0,0.0,0.5610758956103531,37.11688698817926,39.29993501335804,37.11688698817926,39.29993501335804,111.23648223409683,87.26158485575803,241.64613065218717,0.9578136008714373,516.5616119081557,524.2394188766713,1.1463580774639937e-06,2.3439584051487827e-08
35,1.75,23.288100208768267,524.2394065887173,516.5609840336177,515.6477615194592,0.9132225141585195,120.00034633875397,120.00034633875397,120.00034633875397,123.64246065012699,119.62871863542385,104.45374047676432,0.5610758956252235,40321.01548746562,43061.0,-2739.984512534378,43588.0,0.0,0.5610758956252235,37.116884413273546,39.299932287049614,37.116884413273546,39.299932287049614,111.23647453333709,87.26157881231825,241.64611398763924,0.9578136008703582,516.5616119081557,524.2394188766713,1.2154881885440005e-06,2.3439584051487827e-08
36,1.8,23.38204592901879,524.2394065887173,516.5609466062618,515.6477242931345,0.9132223131273349,120.0003804663513,120.0003804663513,120.0003804663513,123.64246065012699,119.62875265733182,104.4537329331248,0.561075895640809,40321.02403645725,43061.0,-2739.975963542747,43588.0,0.0,0.561075895640809,37.11688171453321,39.29992942962531,37.11688171453321,39.29992942962531,111.23646646222588,87.2615724782321,241.64609652164535,0.957813600869227,516.5616119081557,524.2394188766713,1.2879429646117657e-06,2.3439584051487827e-08
37,1.85,23.47599164926931,524.2394065887173,516.5609073789187,515.6476852764906,0.913222102428108,120.00041623524142,120.00041623524142,120.00041623524142,123.64246065012699,119.62878831544965,104.45372502669031,0.5610758956571438,40321.03299659236,43061.0,-2739.9670034076407,43588.0,0.0,0.5610758956571438,37.11687888600278,39.29992643477959,37.11687888600278,39.29992643477959,111.23645800295202,87.2615658395215,241.64607821566284,0.9578136008680415,516.5616119081557,524.2394188766713,1.363882295324359e-06,2.3439584051487827e-08
38,1.9,23.569937369519835,524.2394065887173,516.5608662650222,515.6476443834273,0.91322188159495,120.00045372435744,120.00045372435744,120.00045372435744,123.64246065012699,119.62882568846607,104.45371674001328,0.5610758956742646,40321.04238764336,43061.0,-2739.9576123566367,43588.0,0.0,0.5610758956742646,37.116875921440446,39.29992329590317,37.116875921440446,39.29992329590317,111.23644913684805,87.26155888153704,241.64605902929353,0.957813600866799,516.5616119081557,524.2394188766713,1.4434737622970317e-06,2.3439584051487827e-08
39,1.95,23.663883089770355,524.2394188766713,516.560823173846,515.6476015237038,0.9132216501421908,120.00049301642849,120.00049301642849,120.00049301642849,123.58989111507417,119.62886485885394,104.45370805480692,0.5610758956922084,40321.052230333844,43061.0,-2739.947769666156,43588.0,0.0,0.5610758956922084,37.116872814304166,39.29992000607001,37.116872814304166,39.29992000607001,111.2364398443485,87.26155158892368,241.6460389201996,0.9578136008654976,516.5616119081557,524.2394188766713,1.5268930008138781e-06,0.0
40,2.0,23.757828810020875,524.2394188766713,516.5607780102978,515.6475566027395,0.9132214075582397,120.00053419816211,120.00053419816211,120.00053419816211,123.58989111507417,119.62890591305234,104.45369895190566,0.5610758957110152,40321.06254638374,43061.0,-2739.9374536162577,43588.0,0.0,0.5610758957110152,37.11686955773723,39.29991655801922,37.11686955773723,39.29991655801922,111.23643010494771,87.2615439455891,241.64601784400452,0.9578136008641326,516.5616119081557,524.2394188766713,1.6143240973987005e-06,0.0
41,2.05,23.8517745302714,524.2394188766713,516.5607306747128,515.6475095214056,0.9132211533071768,120.00057736043566,120.00057736043566,120.00057736043566,123.58989111507417,119.62894894165711,104.45368941122123,0.5610758957307268,40321.073358557456,43061.0,-2739.9266414425438,43588.0,0.0,0.5610758957307268,37.116866144553256,39.29991294414259,37.116866144553256,39.29991294414259,111.23641989715284,87.26153593466569,241.6459957541984,0.9578136008627018,516.5616119081557,524.2394188766713,1.7059599911606327e-06,0.0
42,2.1,23.94572025052192,524.2394188766713,516.560681062635,515.6474601758065,0.9132208868285261,120.00062259849676,120.00062259849676,120.00062259849676,123.58989111507417,119.62899403962098,104.45367941169988,0.5610758957513862,40321.0846907143,43061.0,-2739.9153092857014,43588.0,0.0,0.5610758957513862,37.11686256722024,39.29990915646516,37.11686256722024,39.29990915646516,111.23640919843817,87.26152753847623,241.64597260203522,0.9578136008612033,516.5616119081557,524.2394188766713,1.8020028961229784e-06,0.0
43,2.15,24.039665970772443,524.2394188766713,516.5606290645841,515.6474084570492,0.9132206075348677,120.00067001217347,120.00067001217347,120.00067001217347,123.58989111507417,119.62904130646282,104.4536689312761,0.5610758957730391,40321.09656786082,43061.0,-2739.903432139181,43588.0,0.0,0.5610758957730391,37.116858817844005,39.29990518662845,37.116858817844005,39.29990518662845,111.23639798519481,87.26151873849204,241.64594833642477,0.9578136008596316,516.5616119081557,524.2394188766713,1.9026647527509155e-06,0.0
44,2.2,24.133611691022963,524.2394188766713,516.5605745658142,515.6473542510055,0.9132203148087683,120.00071970609463,120.00071970609463,120.00071970609463,123.58989111507417,119.62909084648744,104.4536579468218,0.5610758957957334,40321.1090162061,43061.0,-2739.890983793899,43588.0,0.0,0.5610758957957334,37.11685488815083,39.29990102587226,37.11685488815083,39.29990102587226,111.23638623267769,87.26150951529411,241.64592290381935,0.9578136008579847,516.5616119081557,524.2394188766713,2.008167694800278e-06,0.0
45,2.25,24.227557411273487,524.2394188766713,516.5605174460629,515.6472974380576,0.9132200080052826,120.00077178992053,120.00077178992053,120.00077178992053,123.58989111507417,119.62914276901554,104.45364643409783,0.5610758958195189,40321.122063219635,43061.0,-2739.8779367803654,43588.0,0.0,0.5610758958195189,37.116850769468826,39.29989666501518,37.116850769468826,39.29989666501518,111.23637391495303,87.26149984852964,241.64589624809625,0.9578136008562589,516.5616119081557,524.2394188766713,2.1187445360393298e-06,0.0
46,2.3,24.321503131524008,524.2394188766713,516.5604575792828,515.6472378928364,0.9132196864463822,120.00082637858497,120.00082637858497,120.00082637858497,123.58989111507417,119.62919718862497,104.45363436769856,0.5610758958444485,40321.13573769177,43061.0,-2739.864262308227,43588.0,0.0,0.5610758958444485,37.116846452709346,39.29989209443352,37.116846452709346,39.29989209443352,111.23636100483853,87.26148971686706,241.64586831043434,0.9578136008544506,516.5616119081557,524.2394188766713,2.2346392883898503e-06,0.0
47,2.35,24.41544885177453,524.2394188766713,516.560394833366,515.6471754839429,0.913219349423116,120.00088359254887,120.00088359254887,120.00088359254887,123.58989111507417,119.62925422540359,104.45362172099757,0.561075895870577,40321.15006979747,43061.0,-2739.8499302025302,43588.0,0.0,0.561075895870577,37.116841928346616,39.299887304041306,37.116841928346616,39.299887304041306,111.236347473846,87.26147909794867,241.6458390291834,0.9578136008525541,516.5616119081557,524.2394188766713,2.356107696832588e-06,0.0
48,2.4,24.50939457202505,524.2394188766713,516.5603290698514,515.64711007366,0.9132189961914037,120.0009435580659,120.0009435580659,120.0009435580659,123.58989111507417,119.6293140052141,104.45360846608685,0.5610758958979624,40321.16509116255,43061.0,-2739.8349088374525,43588.0,0.0,0.5610758958979624,37.11683718639664,39.29988228326857,37.11683718639664,39.29988228326857,111.23633329211647,87.2614679683411,241.6458083397286,0.9578136008505665,516.5616119081557,524.2394188766713,2.483417804843846e-06,0.0
49,2.45,24.603340292275576,524.2394188766713,516.5602601436203,515.6470415176477,0.9132186259726041,120.00100640746115,120.00100640746115,120.00100640746115,123.58989111507417,119.62937665997177,104.45359457371788,0.5610758959266646,40321.180834933824,43061.0,-2739.8191650661756,43588.0,0.0,0.5610758959266646,37.11683221639553,39.29987702103506,37.11683221639553,39.29987702103506,111.23631842835525,87.26145630348594,241.64577617434855,0.9578136008484839,516.5616119081557,524.2394188766713,2.616850544367999e-06,0.0
50,2.5,24.697286012526096,524.2394188766713,516.5601879025741,515.6469696646247,0.9132182379493088,120.00107227942298,120.00107227942298,120.00107227942298,123.58989111507417,119.62944232793548,104.45358001323365,0.5610758959567468,40321.19733585189,43061.0,-2739.802664148112,43588.0,0.0,0.5610758959567468,37.11682700737608,39.2998715057293,37.11682700737608,39.2998715057293,111.23630284976286,87.26144407764178,241.64574246206402,0.9578136008463007,516.5616119081557,524.2394188766713,2.7567003602069207e-06,0.0
51,2.55,24.791231732776616,524.2394188766713,516.5601121873002,515.646894356036,0.9132178312642054,120.00114131930907,120.00114131930907,120.00114131930907,123.58989111507417,119.62951115401272,104.45356475250443,0.561075895988276,40321.214630327864,43061.0,-2739.785369672136,43588.0,0.0,0.561075895988276,37.11682154784366,39.29986572518072,37.11682154784366,39.29986572518072,111.23628652196233,87.26143126383062,241.64570712848288,0.9578136008440135,516.5616119081557,524.2394188766713,2.9032758549485393e-06,0.0
52,2.6,24.88517745302714,524.2394188766713,516.5600328307218,515.6468154257,0.9132174050217827,120.00121367946697,120.00121367946697,120.00121367946697,123.58989111507417,119.6295832900793,104.45354875785526,0.5610758960213214,40321.23275652394,43061.0,-2739.7672434760607,43588.0,0.0,0.5610758960213214,37.11681582575107,39.29985966663361,37.11681582575107,39.29985966663361,111.23626940892396,87.26141783377648,241.64567009563663,0.9578136008416156,516.5616119081557,524.2394188766713,3.05690046942253e-06,0.0
53,2.65,24.979123173277664,524.2394188766713,516.559949657725,515.6467326994455,0.9132169582795768,120.00128951957034,120.00128951957034,120.00128951957034,123.58989111507417,119.6296588953143,104.45353199399105,0.5610758960559568,40321.251754437195,43061.0,-2739.748245562805,43588.0,0.0,0.5610758960559568,37.11680982847145,39.2998533167181,37.11680982847145,39.2998533167181,111.23625147288519,87.2614037578441,241.6456312818062,0.9578136008391015,516.5616119081557,524.2394188766713,3.2179132020138113e-06,0.0
